denuncia_id,fecha,comuna,motivo_denuncia,rubro
2021,2019-01-07,12,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2022,2019-01-07,4,Precios - Precio excesivo,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2025,2019-01-07,12,Incumplimiento total de la prestación del servicio  contratado,"Servicios turísticos hoteles, hosterías, albergues, etc."
2026,2019-01-07,11,Falta de cumplimento garantía posventa,TELEFONÍA Y REDES
2029,2019-01-07,11,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2030,2019-01-07,12,Falta de Información,ALIMENTOS Y BEBIDAS
2031,2019-01-07,12,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2032,2019-01-07,4,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
2033,2019-01-07,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"TEXTIL, CALZADO Y MARROQUINERÍA"
2034,2019-01-07,11,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2035,2019-01-07,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Facturación excesiva/consumos no realizados,SERVICIOS PÚBLICOS DOMICILIARIOS
2036,2019-01-07,12,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2037,2019-01-07,11,Falta de cumplimento garantía posventa,"TEXTIL, CALZADO Y MARROQUINERÍA"
2039,2019-01-07,11,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2040,2019-01-08,9,Entrega Defectuosa - Producto dañado,TELEFONÍA Y REDES
2041,2019-01-08,9,Extravío o hurto de mercaderías transportadas,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2042,2019-01-08,12,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2043,2019-01-08,11,No reconocimiento de pagos,FARMACIA Y PRODUCTOS PARA LA SALUD
2044,2019-01-08,12,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2047,2019-01-08,12,Cláusulas abusivas o no convenidas,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2048,2019-01-08,12,Cláusulas abusivas o no convenidas,GESTORÍA Y SERVICIOS DE CONSULTORÍA
2050,2019-01-08,12,Precios - Ausencia o falta de exhibición,SERVICIOS DE COMUNICACIONES
2051,2019-01-08,9,Cláusulas abusivas o no convenidas,ALIMENTOS Y BEBIDAS
2054,2019-01-08,4,Entrega Defectuosa - Producto dañado,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2055,2019-01-09,9,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
2056,2019-01-09,12,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
2057,2019-01-09,12,Precios - Aumento no previsto o sin autorización contractual o legal,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2058,2019-01-09,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2059,2019-01-09,4,Existencia de cláusulas ,SERVICIOS DE COMUNICACIONES
2060,2019-01-09,12,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2062,2019-01-09,9,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2063,2019-01-09,12,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2064,2019-01-09,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2065,2019-01-09,4,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2066,2019-01-09,1,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,ALQUILER DE VEHÍCULOS Y SERVICIO DE REMOLQUE
2067,2019-01-09,12,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2068,2019-01-09,9,Entrega Defectuosa - Faltante de partes o accesorios,MUEBLES
2070,2019-01-09,4,Deficiente calidad en la prestación del servicio,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2071,2019-01-09,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2072,2019-01-09,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2073,2019-01-09,12,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
2074,2019-01-09,11,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2075,2019-01-09,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2077,2019-01-09,9,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2078,2019-01-09,4,Entrega Defectuosa - Producto dañado,TELEFONÍA Y REDES
2079,2019-01-09,1,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2081,2019-01-09,1,Demora en la entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2082,2019-01-09,1,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2083,2019-01-10,11,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2084,2019-01-10,9,Entrega Defectuosa - Producto dañado,INFORMÁTICA
2085,2019-01-10,3,Falta de Entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
2086,2019-01-10,3,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2090,2019-01-10,9,Prácticas Abusivas - Venta Engañosa,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2091,2019-01-10,3,Cláusulas abusivas o no convenidas,TELEFONÍA Y REDES
2092,2019-01-10,12,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2094,2019-01-10,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
2095,2019-01-10,3,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2096,2019-01-10,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de elaboración del contrato,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2097,2019-01-10,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2098,2019-01-10,11,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2099,2019-01-10,4,Falta de Entrega del bien,MUEBLES
2101,2019-01-10,1,Cláusulas abusivas o no convenidas,MUEBLES
2102,2019-01-10,4,Cláusulas abusivas o no convenidas,"REPARACIÓN DE RODADOS, AUTOMOTORES Y EMBARCACIONES"
2103,2019-01-10,4,Falta de Entrega del bien,ALIMENTOS Y BEBIDAS
2104,2019-01-10,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,SERVICIOS DE COMUNICACIONES
2106,2019-01-10,11,Problemas con la devolución del bien o el reembolso de sumas - Restricciones abusivas en las modalidades de devolución o reembolso,"TEXTIL, CALZADO Y MARROQUINERÍA"
2108,2019-01-11,7,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
2109,2019-01-11,12,Cláusulas abusivas o no convenidas,ALIMENTOS Y BEBIDAS
2110,2019-01-11,11,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2111,2019-01-11,9,Deficiente calidad en la prestación del servicio,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2112,2019-01-11,4,"Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.",ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2113,2019-01-11,3,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
2114,2019-01-11,11,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2115,2019-01-11,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2116,2019-01-11,4,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2118,2019-01-11,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2119,2019-01-11,7,Cláusulas abusivas o no convenidas,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2120,2019-01-11,12,Cancelación o supresión de vuelos ,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2122,2019-01-11,11,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2123,2019-01-11,12,Deficiente calidad en la prestación del servicio,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2124,2019-01-11,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2125,2019-01-11,11,Falta de cumplimento garantía posventa,"TEXTIL, CALZADO Y MARROQUINERÍA"
2126,2019-01-11,12,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2127,2019-01-11,9,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2128,2019-01-11,7,Demora en la entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2129,2019-01-11,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2130,2019-01-11,1,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2132,2019-01-11,1,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2133,2019-01-11,9,Entrega Defectuosa - Producto dañado,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2134,2019-01-11,3,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
2135,2019-01-11,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS PÚBLICOS DOMICILIARIOS
2136,2019-01-11,7,Cláusulas abusivas o no convenidas,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
2137,2019-01-11,1,Cláusulas abusivas o no convenidas,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2138,2019-01-14,1,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - Prácticas Abusivas - Venta  Engañosa,ALIMENTOS Y BEBIDAS
2139,2019-01-14,4,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2140,2019-01-14,12,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2141,2019-01-14,4,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2142,2019-01-14,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2143,2019-01-14,11,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
2145,2019-01-14,1,Entrega Defectuosa - Producto dañado,TELEFONÍA Y REDES
2146,2019-01-14,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2147,2019-01-14,12,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2148,2019-01-14,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2149,2019-01-14,6,Prácticas Abusivas - Venta Engañosa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2150,2019-01-14,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2151,2019-01-14,6,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2152,2019-01-14,12,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2154,2019-01-14,1,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2155,2019-01-14,6,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
2158,2019-01-14,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2159,2019-01-14,6,Cláusulas abusivas o no convenidas,FARMACIA Y PRODUCTOS PARA LA SALUD
2161,2019-01-14,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
2162,2019-01-14,12,Prácticas Abusivas - Venta Engañosa,SERVICIOS DE COMUNICACIONES
2163,2019-01-14,7,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2164,2019-01-14,1,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2165,2019-01-14,6,Cláusulas abusivas o no convenidas,TELEFONÍA Y REDES
2166,2019-01-14,12,Falta de cumplimento garantía posventa,TELEFONÍA Y REDES
2167,2019-01-14,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2168,2019-01-14,7,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2169,2019-01-14,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Baja/Alta tensión en el suministro eléctrico,SERVICIOS PÚBLICOS DOMICILIARIOS
2170,2019-01-14,6,No reconocimiento de pagos,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2173,2019-01-14,11,Precios - Precio excesivo,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2174,2019-01-14,6,Falta de Entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
2177,2019-01-14,7,Prácticas Abusivas - Venta  Engañosa,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2179,2019-01-14,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2180,2019-01-14,12,Entrega Defectuosa - Faltante de partes o accesorios,MUEBLES
2182,2019-01-14,7,Modificación baja de señales,SERVICIOS DE COMUNICACIONES
2186,2019-01-14,12,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
2187,2019-01-14,7,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
2188,2019-01-14,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2189,2019-01-14,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2190,2019-01-14,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2192,2019-01-14,11,Entrega Defectuosa - Producto dañado,INFORMÁTICA
2193,2019-01-14,1,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,SERVICIOS DE COMUNICACIONES
2194,2019-01-14,11,Demora en la entrega del bien,MUEBLES
2196,2019-01-14,6,Cancelación o supresión de vuelos,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2197,2019-01-14,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2199,2019-01-14,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,SERVICIOS DE COMUNICACIONES
2200,2019-01-14,6,Cláusulas abusivas o no convenidas,"TEXTIL, CALZADO Y MARROQUINERÍA"
2201,2019-01-15,6,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2202,2019-01-15,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2203,2019-01-15,7,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2204,2019-01-15,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2206,2019-01-15,11,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2207,2019-01-15,11,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2208,2019-01-15,3,Producto no funciona,TELEFONÍA Y REDES
2209,2019-01-15,1,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
2210,2019-01-15,3,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
2211,2019-01-15,15,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"TEXTIL, CALZADO Y MARROQUINERÍA"
2212,2019-01-15,12,Precios - Aumento no previsto o sin autorización contractual o legal,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2213,2019-01-15,3,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2214,2019-01-15,15,Falta de Entrega del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2220,2019-01-15,1,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2221,2019-01-15,15,Problemas de fraude o estafa,SERVICIOS DE COMUNICACIONES
2223,2019-01-15,4,Extravío o hurto de mercaderías transportadas,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2224,2019-01-15,11,Garantía de Bienes. Art 11  Ley 24.240 - Falta de suministro de partes y accesorios,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2225,2019-01-15,15,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2226,2019-01-15,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Sin Tono/Línea,SERVICIOS DE COMUNICACIONES
2227,2019-01-15,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Interferencias/ Ruidos ,SERVICIOS DE COMUNICACIONES
2228,2019-01-15,15,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2231,2019-01-15,15,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
2232,2019-01-15,1,Cumplimiento parcial o defectuoso de la prestación del servicio - Interrupción o corte de suministro,SERVICIOS PÚBLICOS DOMICILIARIOS
2233,2019-01-15,15,Modificación baja de señales,SERVICIOS DE COMUNICACIONES
2234,2019-01-15,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2236,2019-01-15,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2237,2019-01-15,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Sin Tono/Línea,SERVICIOS DE COMUNICACIONES
2238,2019-01-15,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2240,2019-01-15,12,No reconocimiento de pagos,SERVICIOS DE COMUNICACIONES
2242,2019-01-15,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2243,2019-01-15,6,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2244,2019-01-15,7,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2246,2019-01-15,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2247,2019-01-15,11,Deficiente calidad en la prestación del servicio,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
2248,2019-01-15,11,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
2250,2019-01-15,3,Falta de Información,"Servicios turísticos hoteles, hosterías, albergues, etc."
2251,2019-01-15,15,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
